id,team_name,round,match_date,year,home_away,opponent,team_quarter_scores,team_score,opponent_quarter_scores,opponent_score,result,margin,venue,crowd,team_goals_kicked,team_behinds,opponent_goals_kicked,opponent_behinds
15807,Hawthorn Hawks,QF,1994-09-10,1994,A,North Melbourne Kangaroos,4.5 5.7 10.11 13.13 13.13 13.13,91,2.3 6.12 9.12 12.19 13.23 15.24,114,L,23,Waverley Park,38223,13,13,15,24
15808,North Melbourne Kangaroos,QF,1994-09-10,1994,H,Hawthorn Hawks,2.3 6.12 9.12 12.19 13.23 15.24,114,4.5 5.7 10.11 13.13 13.13 13.13,91,W,6,Waverley Park,38223,15,24,13,13
5646,North Melbourne Kangaroos,10,2008-05-31,2008,A,Brisbane Lions,2.2 6.2 12.3 15.8,98,4.7 11.12 15.17 18.21,129,L,-31,The Gabba,22118,15,8,18,21
8829,Sydney Swans,15,2017-06-30,2017,A,Melbourne Demons,1.8 5.15 8.16 11.19,85,4.0 4.1 5.4 7.8,50,W,35,Melbourne Cricket Ground,47464,11,19,7,8
8873,Sydney Swans,11,2019-06-01,2019,A,Geelong Cats,3.3 5.8 6.12 8.15,63,5.1 7.2 11.4 13.7,85,L,-22,GMHBA Stadium,29021,8,15,13,7
8874,Sydney Swans,12,2019-06-09,2019,H,West Coast Eagles,4.1 9.6 14.7 18.8,116,3.2 6.3 7.8 10.11,71,W,45,Sydney Cricket Ground,36640,18,8,10,11
9626,W. Bulldogs,7,2000-04-22,2000,A,Hawthorn Hawks,1.2 6.5 10.5 14.8,92,4.3 9.5 13.8 19.9,123,L,-31,Melbourne Cricket Ground,29405,14,8,19,9
9627,W. Bulldogs,8,2000-04-29,2000,A,West Coast Eagles,3.7 9.9 11.12 15.12,102,4.6 8.9 9.15 15.18,108,L,-6,WACA,26554,15,12,15,18
9628,W. Bulldogs,9,2000-05-05,2000,H,St Kilda Saints,3.5 9.5 10.7 16.9,105,4.1 7.5 15.8 16.8,104,W,1,Marvel Stadium,35505,16,9,16,8
9629,W. Bulldogs,10,2000-05-14,2000,A,Sydney Swans,6.2 13.4 18.9 21.11,137,5.1 8.4 11.5 12.7,79,W,58,Sydney Cricket Ground,18817,21,11,12,7
9630,W. Bulldogs,11,2000-05-20,2000,A,Fremantle Dockers,6.1 11.5 20.8 27.12,174,5.6 8.7 10.7 12.9,81,W,93,Domain Stadium,20821,27,12,12,9
9631,W. Bulldogs,12,2000-05-28,2000,H,Melbourne Demons,3.3 4.6 10.7 16.12,108,6.3 10.4 12.5 13.5,83,W,25,Marvel Stadium,26180,16,12,13,5
9633,W. Bulldogs,14,2000-06-12,2000,A,Richmond Tigers,1.3 4.6 4.8 7.10,52,3.6 6.10 8.15 12.15,87,L,-35,Melbourne Cricket Ground,49557,7,10,12,15
9634,W. Bulldogs,15,2000-06-18,2000,H,North Melbourne Kangaroos,3.4 7.6 13.9 16.10,106,5.2 11.7 13.9 15.12,102,W,4,Marvel Stadium,27695,16,10,15,12
9637,W. Bulldogs,18,2000-07-09,2000,A,Port Adelaide Power,4.2 8.6 10.10 16.10,106,7.3 13.6 15.11 23.11,149,L,-43,AAMI Stadium,21783,16,10,23,11
9638,W. Bulldogs,19,2000-07-15,2000,A,Carlton Blues,2.3 3.5 8.8 11.9,75,2.1 4.3 8.3 11.6,72,W,3,Princes Park,25397,11,9,11,6
9639,W. Bulldogs,20,2000-07-22,2000,H,Collingwood Magpies,3.2 9.5 14.9 15.10,100,2.3 4.6 8.11 13.13,91,W,9,Marvel Stadium,30342,15,10,13,13
9640,W. Bulldogs,21,2000-07-28,2000,A,Essendon Bombers,4.1 7.3 9.4 14.8,92,3.2 7.3 11.7 12.9,81,W,11,Marvel Stadium,45725,14,8,12,9
9641,W. Bulldogs,22,2000-08-04,2000,H,Hawthorn Hawks,3.2 5.3 7.8 9.12,66,3.3 7.8 10.11 11.15,81,L,-15,Marvel Stadium,45527,9,12,11,15
9642,W. Bulldogs,EF,2000-08-12,2000,A,Brisbane Lions,3.3 5.7 7.13 10.16,76,3.6 7.10 11.15 15.20,110,L,-34,The Gabba,25925,10,16,15,20
9643,W. Bulldogs,1,2001-03-31,2001,H,St Kilda Saints,2.4 10.6 14.9 16.11,107,5.5 9.6 15.11 16.16,112,L,-5,Marvel Stadium,30047,16,11,16,16
9644,W. Bulldogs,2,2001-04-07,2001,A,Richmond Tigers,4.0 7.2 11.6 17.9,111,2.4 4.7 5.9 9.15,69,W,42,Melbourne Cricket Ground,36427,17,9,9,15
9658,W. Bulldogs,16,2001-07-21,2001,A,St Kilda Saints,1.3 5.8 10.11 16.16,112,4.2 6.3 9.5 12.6,78,W,34,Marvel Stadium,21665,16,16,12,6
9659,W. Bulldogs,17,2001-07-27,2001,H,Richmond Tigers,5.3 7.5 12.8 15.10,100,4.4 8.9 11.10 15.12,102,L,-2,Marvel Stadium,43595,15,10,15,12
9660,W. Bulldogs,18,2001-08-05,2001,A,Brisbane Lions,3.4 5.7 12.10 15.13,103,4.4 8.10 13.16 19.22,136,L,-33,The Gabba,26872,15,13,19,22
9661,W. Bulldogs,19,2001-08-12,2001,A,Collingwood Magpies,2.4 5.5 7.8 11.11,77,4.1 9.9 15.15 17.17,119,L,-42,Melbourne Cricket Ground,38793,11,11,17,17
9662,W. Bulldogs,20,2001-08-19,2001,A,Hawthorn Hawks,3.6 7.11 12.18 17.23,125,4.1 8.1 11.4 12.7,79,W,46,Melbourne Cricket Ground,26642,17,23,12,7
9664,W. Bulldogs,22,2001-09-02,2001,H,Melbourne Demons,4.3 10.3 12.5 19.9,123,4.1 9.3 17.6 21.7,133,L,-10,Marvel Stadium,21146,19,9,21,7
9665,W. Bulldogs,1,2002-03-31,2002,H,Adelaide Crows,4.5 8.9 10.15 12.21,93,3.5 9.9 12.12 16.16,112,L,-19,Marvel Stadium,18475,12,21,16,16
9668,W. Bulldogs,4,2002-04-20,2002,H,Brisbane Lions,0.1 5.2 10.4 12.6,78,2.3 6.6 11.7 14.10,94,L,-16,Marvel Stadium,23928,12,6,14,10
10652,Brisbane Lions,1,1997-03-30,1997,A,Adelaide Crows,5.2 7.7 10.9 14.12,96,6.1 12.3 17.6 20.12,132,L,-36,AAMI Stadium,36602,14,12,20,12
10653,Brisbane Lions,2,1997-04-06,1997,H,St Kilda Saints,7.3 14.7 19.10 23.16,154,1.2 4.4 5.8 7.15,57,W,97,The Gabba,17123,23,16,7,15
10654,Brisbane Lions,3,1997-04-13,1997,A,Hawthorn Hawks,4.5 6.5 9.9 11.9,75,2.1 8.7 11.10 12.15,87,L,-12,Waverley Park,27947,11,9,12,15
10655,Brisbane Lions,4,1997-04-20,1997,H,North Melbourne Kangaroos,2.6 8.11 10.14 15.19,109,1.3 3.5 10.7 12.11,83,W,26,The Gabba,18575,15,19,12,11
10656,Brisbane Lions,5,1997-04-27,1997,A,Port Adelaide Power,2.0 6.3 9.6 10.11,71,4.5 6.8 8.10 10.13,73,L,-2,AAMI Stadium,31757,10,11,10,13
10657,Brisbane Lions,6,1997-05-03,1997,A,Essendon Bombers,2.5 4.11 6.14 9.17,71,1.5 5.8 11.9 15.12,102,L,-31,Melbourne Cricket Ground,37642,9,17,15,12
10658,Brisbane Lions,7,1997-05-11,1997,H,West Coast Eagles,2.5 4.8 7.12 8.12,60,3.3 6.6 13.7 21.13,139,L,-79,The Gabba,17524,8,12,21,13
10659,Brisbane Lions,8,1997-05-18,1997,A,Fremantle Dockers,5.1 8.2 12.2 15.3,93,5.4 8.7 12.11 14.14,98,L,-5,Domain Stadium,14721,15,3,14,14
10660,Brisbane Lions,9,1997-05-25,1997,H,Geelong Cats,4.4 12.9 15.9 19.12,126,4.3 5.3 12.6 15.8,98,W,28,The Gabba,19828,19,12,15,8
10661,Brisbane Lions,10,1997-06-01,1997,H,Sydney Swans,1.3 5.9 9.11 13.14,92,3.2 6.4 8.10 13.11,89,W,3,The Gabba,20403,13,14,13,11
10662,Brisbane Lions,11,1997-06-09,1997,A,Carlton Blues,2.3 5.6 7.9 9.9,63,6.5 8.10 11.11 12.12,84,L,-21,Princes Park,27904,9,9,12,12
10663,Brisbane Lions,12,1997-06-15,1997,A,Melbourne Demons,5.1 10.4 17.8 21.9,135,1.2 4.4 6.5 7.8,50,W,85,Melbourne Cricket Ground,13392,21,9,7,8
10797,Carlton Blues,6,1986-05-04,1986,A,Sydney Swans,4.4 7.7 9.16 13.20,98,5.2 9.7 13.9 18.12,120,L,-22,Sydney Cricket Ground,37873,13,20,18,12
10798,Carlton Blues,7,1986-05-10,1986,A,Collingwood Magpies,6.1 10.8 15.12 16.13,109,3.3 4.7 4.10 9.15,69,W,40,Victoria Park,27069,16,13,9,15
10845,Carlton Blues,5,1988-04-30,1988,H,Collingwood Magpies,0.5 2.7 6.9 10.9,69,4.5 6.8 8.11 14.13,97,L,-28,Waverley Park,76354,10,9,14,13
10846,Carlton Blues,6,1988-05-07,1988,H,St Kilda Saints,0.1 4.4 7.8 10.12,72,2.4 2.5 3.5 4.8,32,W,40,Princes Park,15617,10,12,4,8
10894,Carlton Blues,7,1990-05-12,1990,A,Essendon Bombers,1.0 9.3 10.5 17.9,111,4.4 4.6 12.11 13.13,91,W,20,Windy Hill,22198,17,9,13,13
10940,Carlton Blues,10,1992-05-23,1992,H,Essendon Bombers,4.1 6.3 12.4 18.8,116,2.4 3.15 4.18 7.22,64,W,52,Princes Park,27993,18,8,7,22
10941,Carlton Blues,11,1992-05-30,1992,A,Melbourne Demons,3.1 5.8 9.11 14.15,99,4.1 6.4 10.5 10.5,65,W,34,Waverley Park,30177,14,15,10,5
10987,Carlton Blues,12,1994-06-11,1994,A,Melbourne Demons,5.1 11.2 13.5 18.13,121,4.4 9.8 9.14 13.16,94,W,27,Melbourne Cricket Ground,52199,18,13,13,16
10988,Carlton Blues,13,1994-06-18,1994,H,St Kilda Saints,7.1 10.4 15.9 22.13,145,2.2 5.2 9.3 10.5,65,W,80,Princes Park,22927,22,13,10,5
9669,W. Bulldogs,5,2002-04-26,2002,H,Melbourne Demons,1.9 5.14 8.17 10.21,81,2.2 5.6 10.8 15.14,104,L,-23,Marvel Stadium,30789,10,21,15,14
11033,Carlton Blues,8,1996-05-17,1996,A,Geelong Cats,3.6 7.9 9.12 12.14,86,6.2 10.7 12.7 15.8,98,L,-12,Melbourne Cricket Ground,67931,12,14,15,8
9670,W. Bulldogs,6,2002-05-04,2002,H,Carlton Blues,5.5 8.7 11.11 14.12,96,3.2 5.5 8.7 9.14,68,W,28,Marvel Stadium,29783,14,12,9,14
11173,Collingwood Magpies,7,1985-05-11,1985,H,Fitzroy Lions,3.0 4.6 7.14 11.15,81,8.1 16.5 19.7 25.10,160,L,-79,Victoria Park,22964,11,15,25,10
11219,Collingwood Magpies,9,1987-05-23,1987,H,St Kilda Saints,6.7 10.8 15.12 15.15,105,3.3 8.5 11.6 15.9,99,W,6,Victoria Park,20076,15,15,15,9
11220,Collingwood Magpies,10,1987-06-01,1987,A,West Coast Eagles,2.4 5.9 7.10 11.14,80,5.6 11.14 15.21 19.23,137,L,-57,Domain Stadium,38274,11,14,19,23
11221,Collingwood Magpies,11,1987-06-08,1987,A,Geelong Cats,4.1 8.5 11.7 17.8,110,3.4 5.6 11.12 17.13,115,L,-5,Waverley Park,33150,17,8,17,13
11222,Collingwood Magpies,12,1987-06-13,1987,H,Fitzroy Lions,3.5 8.8 10.10 15.16,106,4.5 8.7 10.11 11.14,80,W,26,Victoria Park,17840,15,16,11,14
11265,Collingwood Magpies,9,1989-05-27,1989,A,Essendon Bombers,3.7 5.9 6.13 7.16,58,3.4 9.4 13.5 19.11,125,L,-67,Waverley Park,71390,7,16,19,11
11266,Collingwood Magpies,10,1989-06-03,1989,H,Geelong Cats,4.3 9.4 12.8 13.10,88,6.2 10.7 15.11 23.16,154,L,-66,Melbourne Cricket Ground,65185,13,10,23,16
11311,Collingwood Magpies,6,1991-04-25,1991,H,Melbourne Demons,2.7 7.11 8.15 10.17,77,1.2 8.3 13.6 17.11,113,L,-36,Waverley Park,55735,10,17,17,11
11312,Collingwood Magpies,8,1991-05-12,1991,A,Richmond Tigers,7.1 11.6 14.8 15.12,102,4.3 12.8 18.13 24.15,159,L,-57,Melbourne Cricket Ground,28322,15,12,24,15
11313,Collingwood Magpies,9,1991-05-18,1991,H,Geelong Cats,6.3 9.5 12.8 13.12,90,3.5 5.13 11.18 18.24,132,L,-42,Victoria Park,26262,13,12,18,24
11357,Collingwood Magpies,8,1993-05-15,1993,H,Hawthorn Hawks,6.1 7.4 12.7 14.10,94,3.6 4.9 7.14 10.16,76,W,18,Victoria Park,29880,14,10,10,16
11358,Collingwood Magpies,9,1993-05-22,1993,A,Fitzroy Lions,1.1 3.5 7.9 10.13,73,7.2 10.4 11.8 14.8,92,L,-19,Princes Park,24442,10,13,14,8
11402,Collingwood Magpies,9,1995-05-28,1995,A,Melbourne Demons,2.2 3.8 7.12 7.16,58,1.1 4.6 8.8 12.13,85,L,-27,Melbourne Cricket Ground,51774,7,16,12,13
11403,Collingwood Magpies,10,1995-06-03,1995,H,Fitzroy Lions,1.3 4.7 6.12 13.15,93,4.2 6.9 9.14 10.19,79,W,14,Victoria Park,23356,13,15,10,19
9672,W. Bulldogs,8,2002-05-19,2002,A,Sydney Swans,3.5 10.8 16.13 24.15,159,1.7 7.11 9.16 11.24,90,W,69,Sydney Cricket Ground,20934,24,15,11,24
11639,Essendon Bombers,16,1988-07-16,1988,H,Fitzroy Lions,3.2 7.7 11.7 16.14,110,3.2 5.6 6.8 9.12,66,W,44,Windy Hill,14477,16,14,9,12
11641,Essendon Bombers,18,1988-07-30,1988,A,Hawthorn Hawks,3.4 5.5 7.7 9.8,62,3.1 5.7 7.11 12.16,88,L,-26,Waverley Park,35662,9,8,12,16
11642,Essendon Bombers,19,1988-08-06,1988,H,Geelong Cats,2.4 7.8 11.12 12.18,90,6.5 10.9 17.10 24.13,157,L,-67,Windy Hill,15636,12,18,24,13
11685,Essendon Bombers,15,1990-07-14,1990,A,Hawthorn Hawks,2.4 7.8 16.14 21.16,142,2.1 5.3 6.5 10.7,67,W,75,Princes Park,25159,21,16,10,7
11686,Essendon Bombers,16,1990-07-21,1990,H,Melbourne Demons,5.6 9.8 13.12 15.16,106,3.2 7.5 9.9 17.12,114,L,-8,Windy Hill,19945,15,16,17,12
9673,W. Bulldogs,9,2002-05-25,2002,A,Geelong Cats,3.2 10.5 17.5 18.9,117,5.1 10.2 15.3 17.3,105,W,12,GMHBA Stadium,22033,18,9,17,3
11732,Essendon Bombers,15,1992-06-27,1992,H,West Coast Eagles,2.4 4.6 7.6 9.8,62,4.4 12.5 16.11 20.17,137,L,-75,Melbourne Cricket Ground,32849,9,8,20,17
11733,Essendon Bombers,16,1992-07-04,1992,H,St Kilda Saints,5.3 10.7 15.12 16.15,111,2.2 8.7 9.14 11.17,83,W,28,Melbourne Cricket Ground,42461,16,15,11,17
9674,W. Bulldogs,10,2002-06-01,2002,A,Richmond Tigers,6.2 7.6 12.9 17.15,117,3.0 7.5 11.12 14.14,98,W,19,Melbourne Cricket Ground,31586,17,15,14,14
11966,Fitzroy Lions,15,1985-07-06,1985,A,Richmond Tigers,6.7 10.11 15.16 17.16,118,2.3 7.5 16.9 21.16,142,L,-24,Melbourne Cricket Ground,19794,17,16,21,16
12014,Fitzroy Lions,16,1987-07-11,1987,A,North Melbourne Kangaroos,7.5 11.7 14.8 19.9,123,4.1 11.5 19.13 23.18,156,L,-33,Melbourne Cricket Ground,15244,19,9,23,18
12016,Fitzroy Lions,18,1987-08-01,1987,H,Geelong Cats,4.4 7.5 15.7 20.9,129,2.4 6.7 7.13 12.15,87,W,42,Princes Park,8434,20,9,12,15
12062,Fitzroy Lions,20,1989-08-19,1989,H,Collingwood Magpies,1.1 3.5 4.8 10.11,71,4.7 7.10 10.17 14.20,104,L,-33,Waverley Park,42117,10,11,14,20
9675,W. Bulldogs,11,2002-06-09,2002,H,Fremantle Dockers,7.3 12.6 16.10 22.13,145,3.2 6.4 10.4 12.8,80,W,65,Princes Park,11539,22,13,12,8
12065,Fitzroy Lions,1,1990-03-31,1990,A,Essendon Bombers,3.1 5.5 6.8 8.12,60,7.4 13.11 17.15 20.21,141,L,-81,Windy Hill,18960,8,12,20,21
9676,W. Bulldogs,12,2002-06-21,2002,H,St Kilda Saints,5.4 10.11 13.15 19.19,133,4.2 7.4 12.5 13.8,86,W,47,Marvel Stadium,29453,19,19,13,8
10893,Carlton Blues,6,1990-05-05,1990,H,North Melbourne Kangaroos,3.1 6.7 14.8 20.13,133,4.6 8.11 11.15 14.19,103,W,30,"Princes Park
",17555,20,13,14,19
12067,Fitzroy Lions,3,1990-04-16,1990,A,Geelong Cats,0.1 4.6 7.7 11.11,77,6.6 8.11 16.15 22.18,150,L,-73,GMHBA Stadium,23031,11,11,22,18
12109,Fitzroy Lions,2,1992-03-29,1992,A,Essendon Bombers,4.6 9.11 18.17 22.18,150,0.2 3.6 4.7 15.8,98,W,52,Melbourne Cricket Ground,29206,22,18,15,8
12111,Fitzroy Lions,4,1992-04-11,1992,H,Adelaide Crows,3.3 10.5 14.12 19.16,130,5.1 7.5 12.10 14.13,97,W,33,Princes Park,8243,19,16,14,13
12112,Fitzroy Lions,5,1992-04-20,1992,H,St Kilda Saints,5.1 8.4 13.8 16.12,108,3.10 7.15 12.19 17.26,128,L,-20,Princes Park,20298,16,12,17,26
12113,Fitzroy Lions,6,1992-04-26,1992,A,Geelong Cats,5.1 9.4 10.8 11.11,77,6.5 11.11 16.19 25.25,175,L,-98,GMHBA Stadium,22062,11,11,25,25
12157,Fitzroy Lions,8,1994-05-14,1994,H,North Melbourne Kangaroos,3.2 5.7 10.11 13.12,90,4.3 7.8 11.9 17.17,119,L,-29,Western Oval,11334,13,12,17,17
12158,Fitzroy Lions,9,1994-05-22,1994,A,St Kilda Saints,4.4 6.7 6.11 8.14,62,3.1 7.4 9.7 11.9,75,L,-13,Waverley Park,15249,8,14,11,9
12159,Fitzroy Lions,10,1994-05-29,1994,A,Adelaide Crows,1.3 4.5 7.7 9.10,64,3.5 6.9 13.11 15.13,103,L,-39,AAMI Stadium,42915,9,10,15,13
12206,Fitzroy Lions,12,1996-06-22,1996,A,Hawthorn Hawks,2.4 5.6 9.8 12.11,83,6.2 11.7 16.10 17.12,114,L,-31,Waverley Park,16217,12,11,17,12
12207,Fitzroy Lions,13,1996-06-29,1996,H,Geelong Cats,1.1 6.1 6.2 6.3,39,7.8 14.10 20.15 25.16,166,L,-127,Western Oval,10504,6,3,25,16
12254,Fremantle Dockers,16,1996-07-21,1996,A,West Coast Eagles,1.0 2.2 2.6 7.6,48,2.3 6.4 8.7 12.10,82,L,-34,Domain Stadium,35406,7,6,12,10
12400,Geelong Cats,8,1986-05-17,1986,A,Carlton Blues,3.1 8.3 11.4 16.9,105,7.2 12.4 15.8 20.14,134,L,-29,Princes Park,21829,16,9,20,14
12401,Geelong Cats,9,1986-05-25,1986,H,Hawthorn Hawks,2.2 7.6 9.12 12.14,86,8.0 9.1 12.1 19.5,119,L,-33,GMHBA Stadium,21646,12,14,19,5
9677,W. Bulldogs,13,2002-06-29,2002,A,Port Adelaide Power,2.1 6.3 12.5 18.7,115,7.2 14.4 21.8 25.11,161,L,-46,AAMI Stadium,24751,18,7,25,11
9678,W. Bulldogs,14,2002-07-06,2002,H,Essendon Bombers,3.3 9.5 14.6 18.10,118,5.4 8.9 13.13 17.16,118,D,0,Marvel Stadium,44864,18,10,17,16
12449,Geelong Cats,13,1988-06-25,1988,A,Hawthorn Hawks,2.6 4.11 7.12 12.15,87,3.2 9.4 13.9 17.10,112,L,-25,Princes Park,13867,12,15,17,10
12496,Geelong Cats,12,1990-06-16,1990,H,Collingwood Magpies,4.9 8.10 11.12 12.16,88,2.1 7.5 11.8 14.15,99,L,-11,Waverley Park,53917,12,16,14,15
9679,W. Bulldogs,15,2002-07-12,2002,H,Hawthorn Hawks,3.3 8.6 12.8 14.9,93,2.2 8.7 10.11 17.14,116,L,-23,Marvel Stadium,35434,14,9,17,14
12498,Geelong Cats,14,1990-07-07,1990,A,Hawthorn Hawks,0.2 3.6 4.6 7.8,50,7.4 10.5 15.10 18.10,118,L,-68,Waverley Park,30211,7,8,18,10
12499,Geelong Cats,15,1990-07-14,1990,H,Melbourne Demons,4.1 7.3 15.5 17.11,113,3.5 9.7 12.11 15.13,103,W,10,GMHBA Stadium,18265,17,11,15,13
12544,Geelong Cats,14,1992-06-21,1992,A,Sydney Swans,4.2 11.6 17.9 24.14,158,6.5 7.8 9.15 11.17,83,W,75,Sydney Cricket Ground,11132,24,14,11,17
12545,Geelong Cats,15,1992-06-28,1992,H,Western Bulldogs,4.3 6.9 9.16 14.18,102,2.1 5.3 10.5 14.9,93,W,9,GMHBA Stadium,27445,14,18,14,9
12592,Geelong Cats,17,1994-07-16,1994,A,Western Bulldogs,3.3 10.3 11.4 13.7,85,5.1 9.4 11.5 17.11,113,L,-28,Western Oval,23953,13,7,17,11
12829,Hawthorn Hawks,9,1987-05-23,1987,H,Essendon Bombers,6.7 11.10 19.13 25.15,165,1.2 1.3 3.3 7.9,51,W,114,Waverley Park,32634,25,15,7,9
12830,Hawthorn Hawks,10,1987-05-30,1987,H,St Kilda Saints,6.3 13.6 17.10 23.16,154,7.1 7.3 12.6 15.8,98,W,56,Waverley Park,15535,23,16,15,8
12831,Hawthorn Hawks,11,1987-06-06,1987,A,North Melbourne Kangaroos,1.1 8.5 13.7 17.11,113,7.2 10.5 11.6 14.7,91,W,22,Waverley Park,23606,17,11,14,7
12876,Hawthorn Hawks,6,1989-05-06,1989,H,Geelong Cats,5.3 9.5 16.9 26.15,171,8.4 17.6 19.10 25.13,163,W,8,Princes Park,17430,26,15,25,13
12877,Hawthorn Hawks,7,1989-05-13,1989,H,Fitzroy Lions,4.3 8.7 17.12 25.15,165,4.0 8.3 9.5 13.6,84,W,81,Princes Park,16316,25,15,13,6
12878,Hawthorn Hawks,8,1989-05-20,1989,H,Sydney Swans,6.6 12.11 16.20 22.25,157,2.2 4.4 8.9 12.11,83,W,74,Princes Park,13148,22,25,12,11
12879,Hawthorn Hawks,9,1989-05-28,1989,A,Western Bulldogs,3.4 8.7 14.11 17.15,117,2.2 4.6 6.7 10.13,73,W,44,Western Oval,16437,17,15,10,13
12923,Hawthorn Hawks,7,1991-05-04,1991,H,West Coast Eagles,3.3 5.6 7.9 8.14,62,3.7 10.9 16.14 21.18,144,L,-82,Princes Park,18585,8,14,21,18
12924,Hawthorn Hawks,8,1991-05-11,1991,H,Carlton Blues,2.3 7.9 10.10 18.14,122,0.4 3.5 8.10 11.12,78,W,44,Waverley Park,29727,18,14,11,12
9680,W. Bulldogs,16,2002-07-21,2002,A,Adelaide Crows,1.1 8.2 10.7 14.11,95,6.2 9.6 16.8 21.12,138,L,-43,AAMI Stadium,41247,14,11,21,12
12973,Hawthorn Hawks,9,1993-05-22,1993,H,Richmond Tigers,6.2 12.5 16.8 20.11,131,2.3 5.5 14.6 19.7,121,W,10,Waverley Park,20316,20,11,19,7
12974,Hawthorn Hawks,10,1993-05-29,1993,A,Western Bulldogs,6.6 8.9 15.10 20.12,132,2.4 5.5 8.7 9.8,62,W,70,Western Oval,19397,20,12,9,8
9681,W. Bulldogs,17,2002-07-28,2002,H,North Melbourne Kangaroos,8.5 12.7 16.9 21.13,139,2.3 7.6 11.8 16.9,105,W,34,Marvel Stadium,31576,21,13,16,9
12976,Hawthorn Hawks,12,1993-06-19,1993,H,St Kilda Saints,6.3 12.6 15.10 23.14,152,5.0 7.2 10.6 11.8,74,W,78,Waverley Park,28975,23,14,11,8
13018,Hawthorn Hawks,10,1995-06-04,1995,A,Carlton Blues,2.1 5.4 9.6 10.10,70,9.3 16.6 20.13 26.16,172,L,-102,Princes Park,29520,10,10,26,16
13019,Hawthorn Hawks,11,1995-06-12,1995,H,Sydney Swans,4.4 8.7 14.10 17.11,113,2.5 3.10 5.14 9.17,71,W,42,Waverley Park,19737,17,11,9,17
13201,North Melbourne Kangaroos,12,1986-06-13,1986,A,Sydney Swans,3.3 5.7 13.7 14.11,95,5.3 8.4 11.8 13.13,91,W,4,Sydney Cricket Ground,26770,14,11,13,13
13202,North Melbourne Kangaroos,13,1986-06-21,1986,A,Hawthorn Hawks,1.2 4.6 8.8 13.14,92,8.9 12.11 19.20 21.26,152,L,-60,Princes Park,14578,13,14,21,26
13244,North Melbourne Kangaroos,10,1988-06-04,1988,A,Fitzroy Lions,4.4 5.11 13.13 18.16,124,8.1 14.4 16.9 24.13,157,L,-33,Princes Park,8280,18,16,24,13
13245,North Melbourne Kangaroos,11,1988-06-10,1988,A,Sydney Swans,5.4 10.8 14.10 19.11,125,6.7 10.13 15.20 18.24,132,L,-7,Sydney Cricket Ground,11729,19,11,18,24
1175,Brisbane Lions,3,2025-03-29,2025,H,Geelong Cats,2.2 3.4 7.7 10.10,70,3.4 7.6 7.6 9.7,61,W,9,The Gabba,27966,10,10,9,7
13246,North Melbourne Kangaroos,12,1988-06-18,1988,H,Melbourne Demons,1.1 6.3 7.9 10.14,74,3.5 3.11 4.14 7.19,61,W,13,Melbourne Cricket Ground,18078,10,14,7,19
13248,North Melbourne Kangaroos,14,1988-07-02,1988,A,Fitzroy Lions,4.4 7.11 10.15 15.20,110,1.3 2.5 7.7 10.11,71,W,39,Waverley Park,10310,15,20,10,11
13287,North Melbourne Kangaroos,9,1990-05-26,1990,A,Collingwood Magpies,3.2 7.8 11.10 14.12,96,6.6 11.11 15.15 26.20,176,L,-80,Victoria Park,22232,14,12,26,20
13288,North Melbourne Kangaroos,10,1990-06-01,1990,H,West Coast Eagles,2.4 8.7 14.11 17.16,118,4.4 7.6 9.9 13.12,90,W,28,Melbourne Cricket Ground,9377,17,16,13,12
13289,North Melbourne Kangaroos,11,1990-06-11,1990,A,Fitzroy Lions,2.4 10.6 15.7 15.10,100,2.3 3.3 6.9 11.12,78,W,22,Princes Park,13271,15,10,11,12
13330,North Melbourne Kangaroos,9,1992-05-15,1992,H,Fitzroy Lions,2.3 6.6 9.11 9.12,66,3.4 9.6 12.10 15.15,105,L,-39,Melbourne Cricket Ground,17371,9,12,15,15
13331,North Melbourne Kangaroos,10,1992-05-23,1992,A,Melbourne Demons,8.0 12.1 13.3 16.8,104,5.2 8.6 13.12 21.14,140,L,-36,Melbourne Cricket Ground,18634,16,8,21,14
13332,North Melbourne Kangaroos,11,1992-05-31,1992,A,Adelaide Crows,3.4 9.5 11.10 16.11,107,3.5 11.7 15.12 21.16,142,L,-35,AAMI Stadium,36312,16,11,21,16
13418,North Melbourne Kangaroos,5,1996-04-27,1996,H,Adelaide Crows,6.3 9.6 15.10 23.14,152,7.1 11.5 15.8 17.11,113,W,39,Melbourne Cricket Ground,32215,23,14,17,11
13419,North Melbourne Kangaroos,6,1996-05-03,1996,H,Geelong Cats,5.3 8.8 12.12 15.14,104,5.1 8.8 11.11 13.15,93,W,11,Melbourne Cricket Ground,50074,15,14,13,15
9682,W. Bulldogs,18,2002-08-04,2002,H,West Coast Eagles,5.2 13.2 18.6 22.10,142,5.2 11.5 13.6 14.7,91,W,51,Princes Park,11809,22,10,14,7
13594,Melbourne Demons,15,1986-07-05,1986,H,Essendon Bombers,2.2 5.4 7.8 8.12,60,7.4 15.8 19.13 27.20,182,L,-122,Melbourne Cricket Ground,21560,8,12,27,20
13595,Melbourne Demons,16,1986-07-12,1986,H,Hawthorn Hawks,2.1 3.3 4.11 6.14,50,6.5 12.9 15.11 17.15,117,L,-67,Waverley Park,10272,6,14,17,15
13640,Melbourne Demons,14,1988-07-02,1988,A,Geelong Cats,1.4 5.7 10.10 13.11,89,2.1 5.4 6.6 8.8,56,W,33,GMHBA Stadium,17227,13,11,8,8
